MCU问题单号,问题描述,进展,根因,对策,车族,车型,电驱代号,管理平台,问题类别,问题解析报告,问题解析附件,车辆类型,仪表指示灯,故障DTC,故障工况,故障时刻
SW-H77-L160D-001,MCU报三级欠压故障，电机无法上高压,,炸管，初步测量GE之间短路,,H77系列,H77A-PHEV-400V,L160D-2,智新科技400V-ID4,硬件|高压侧,https://hav4xarv6k.feishu.cn/file/VtCBbJgcbouwfKxE3Gtc4pcNnTc?from=from_copylink,https://hav4xarv6k.feishu.cn/drive/folder/HewLf6ck6lSzFpdU5nFcVSQ4nEf?from=from_copylink,试验车,"电机故障红灯, 动力系统故障黄灯",P2D9E16,车辆启动,
SW-H37A-L200A-013,0KM客户车报IGBT退饱和故障,,当低压电源降到7V左右时会出现故障，电压恢复后重新上下电故障解除，基本符合原车故障现象，确定此故障为小电瓶亏电导致。,,H37系列,H37A-EV-400V,L200A,智新控制400V-ID2,软件|底层,https://hav4xarv6k.feishu.cn/slides/DByjs3bzJltWchdQ77Lct1tPnvg,https://hav4xarv6k.feishu.cn/drive/folder/FGN6fziJ7l46j9dWTvfccggNnvF,商品车,"电机故障红灯, 动力系统故障黄灯",P161209,车辆启动,
SW-H56C-L160C-001,车辆在PDI车间静置一段时间后报后电驱旋变励磁故障,,电机控制器内旋变转接插排异常,单件问题，更换MCU,H56系列,H56C-PHEV华为版-400V,L160C,智新控制400V-ID2,制造|工艺,https://hav4xarv6k.feishu.cn/file/A4h0b9qmjoAc6axXnNdcYXzAnkc,https://hav4xarv6k.feishu.cn/drive/folder/NryZfIqfVlkLFHdC4jFclnignUd?from=from_copylink,商品车,"电机故障红灯, 动力系统故障黄灯",P0A3F09,车辆启动,
SW-H53A-L200A-018,1210佛山H53故障灯亮,更换小电瓶,整车上电，逆变砖欠压下，报Fault B故障、30V欠压故障,,H53系列,H53A-EV-400V,L200A,智新控制400V-ID2,软件|底层,https://hav4xarv6k.feishu.cn/docx/Q4VDdCy5iolI86xfUs2cWOYgnQh,https://hav4xarv6k.feishu.cn/drive/folder/HgCbfPMIyljvp4dddfhctE1Mnwc?from=from_copylink,商品车,"电机故障红灯, 动力系统故障黄灯",P0A0A11,车辆启动,
SW-H97a/c-L160A-031,1214昆明97d行驶动力丢失，限功率,,前电机B相desat，控制器漏液，打火烧蚀。,,H97系列,H97a/c-REV-400V,L160A-2,巨一400V,硬件|高压侧,https://hav4xarv6k.feishu.cn/docx/LKBbdUG7PodRZhxBos3cZiuJnKE?from=from_copylink,无,商品车,"电机故障红灯, 动力系统故障黄灯",P161309,平稳驾驶,
SW-H97a/c-L200A-076,成都H97C仪表多个故障灯点亮功率受限,,BK版本HVMCU故障，在高速下误报三级故障,,H97系列,H97a/c-REV-400V,L200A-2,巨一400V,硬件|高压侧,https://hav4xarv6k.feishu.cn/slides/KtaDswxCPlXbjXdDbobcp3kGnMb?from=from_copylink,https://hav4xarv6k.feishu.cn/drive/folder/LtoFfmVDzlEtmbdLcN2cIdrKnsh?from=from_copylink,商品车,"电机故障红灯, 动力系统故障黄灯",NA,车辆启动,
SW-H97D-L200A-002,黄石h97D仪表电机过温故障灯亮,,NTF,NA,H97系列,H97D-REV-400V,L200A-2,巨一400V,NA,https://hav4xarv6k.feishu.cn/docx/FIlSdjVBGopuI6x1Xvoce3nXnsE?from=from_copylink,https://hav4xarv6k.feishu.cn/drive/folder/CX69fAeLalZCcDd9NDmcUJWpnqD?from=from_copylink,商品车,"电机故障黄灯, 电机过温故障灯",P0A2F98,平稳驾驶,
SW-H97a/c-L160A-032,1227昆明97c动力电池故障，电机故障,,铜排打火,,H97系列,H97a/c-REV-400V,L160A-2,巨一400V,硬件|高压侧,https://hav4xarv6k.feishu.cn/docx/JKMNdDM2Vo2I1vxMsLocCiPpnEb?from=from_copylink,无,商品车,"电机故障红灯, 动力系统故障红灯",P161309,车辆启动,
SW-H97D-L200A-003,唐山H97D后电机温度故障预警发动机有故障码,,在MCU上高压阶段，MCU电机温度采样未更新发初始值，矩阵体现为-40℃，大数据预警为故障,,H97系列,H97D-REV-400V,L200A-2,巨一400V,软件|应用层,https://hav4xarv6k.feishu.cn/docx/UexldQrZ8ojZ1bxhVuHcl71ynAh?from=from_copylink,https://hav4xarv6k.feishu.cn/drive/folder/PgWqfoHxOlfCvsd6KhRcED6rnQh?from=from_copylink,商品车,无,NA,平稳驾驶,
SW-H97a/c-L200A-077,郑州H97C 后电机限速,,BK版本HVMCU故障，在高速下误报三级故障,,H97系列,H97a/c-REV-400V,L200A-2,巨一400V,硬件|高压侧,https://hav4xarv6k.feishu.cn/slides/KtaDswxCPlXbjXdDbobcp3kGnMb?from=from_copylink,https://hav4xarv6k.feishu.cn/drive/folder/LtoFfmVDzlEtmbdLcN2cIdrKnsh?from=from_copylink,商品车,"电机故障红灯, 动力系统故障黄灯",NA,车辆启动,
SW-H97a/c-L200A-078,深圳H97c 车辆亮动力系统故障灯,,IGBT驱动通信故障：联电确认下桥Fault B故障，W相低边驱动异常，S9202C位区英飞凌驱动芯片1ED12001AS芯片失效,,H97系列,H97a/c-REV-400V,L200A-2,巨一400V,制造|工艺,https://hav4xarv6k.feishu.cn/docx/XZ74dm6n7o1Hw7ximErcYl3Bnig,https://hav4xarv6k.feishu.cn/drive/folder/Nu5ffebQYliaRAdVHxJcCerSn87?from=from_copylink,商品车,"电机故障红灯, 动力系统故障黄灯",NA,车辆启动,
